Image,Label,area,perimeter,circularity,eccentricity,mean_gray,std_gray,mean_h,mean_s,mean_v,std_h,std_s,std_v,grad_mean,grad_std
118,Plasma,186.5,116.04163002967834,0.17404480261777272,0.6942174112104216,111.40384615384616,57.59658319261231,133.0628205128205,98.5474358974359,148.2320512820513,12.183107356714101,46.2102115042934,50.694522522072916,98.15020751953125,75.47813415527344
119,Tumor,116.5,70.3847758769989,0.29551418015803604,0.6768450763338987,65.53571428571429,24.63189408005965,149.12698412698413,152.67989417989418,106.010582010582,11.606865415216198,24.740733244394416,30.04410152041832,69.10520935058594,37.95074462890625
120,Fibroblast,277.0,113.4558435678482,0.27041818564791953,0.8522563110956412,111.45075757575758,63.783602547767195,130.51136363636363,104.48958333333334,148.6723484848485,32.68866949406192,53.313874457545026,53.46886158911681,121.25527954101562,107.85869598388672
121,Plasma,206.0,121.9411244392395,0.174091149768769,0.7827804636959402,88.48511166253101,59.68651897680226,137.6699751861042,120.74193548387096,124.24565756823822,12.45638611661643,51.55223714414884,52.81191590249466,88.17514038085938,75.39727783203125
122,Plasma,131.0,88.1421355009079,0.21189173785970844,0.8365454517182177,83.40513833992095,58.28697484042259,130.64426877470356,121.54150197628458,120.81027667984189,8.30257453040289,50.07819238635496,55.84860581841062,96.11994171142578,100.65605163574219
123,Plasma,156.0,85.45584380626678,0.26844228607652854,0.8604924687904439,91.98772321428571,30.31731119689053,145.37388392857142,115.03794642857142,129.07700892857142,9.095337605889064,25.18318400236815,29.120165263646157,48.8226318359375,34.75758361816406
124,Tumor,688.5,290.066015124321,0.10283006519403692,0.8279896601861843,123.85863095238095,31.136418268165546,137.18849206349205,85.6626984126984,161.37698412698413,10.620164002519685,27.54873598957549,27.367189144999166,87.07881927490234,52.937950134277344
125,Lymphocyte,47.5,30.242640614509583,0.6526255255938369,0.886238894907262,97.27555555555556,40.477204314722655,141.59555555555556,109.5111111111111,134.16,8.455424440507572,34.02275200980939,36.27991424711171,97.96377563476562,60.44792938232422
126,Fibroblast,257.0,103.25483298301697,0.30291599782058226,0.98388691605719,79.98214285714286,20.502121419739726,167.14186507936506,175.34523809523807,147.3253968253968,8.782915035538322,9.229968504502649,39.66455663957384,52.21957778930664,36.395755767822266
127,Plasma,68.0,64.97056233882904,0.20243496418787404,0.8032058652217988,63.93454545454546,28.590705534757387,152.33818181818182,155.91272727272727,104.01636363636364,11.181079650407522,18.82347716448757,40.21530357118187,62.23125076293945,44.7840690612793
